Partners,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
"CS Cowdrey, MD Moxon",1985-1985,1985,1985,1,0,22,22,22.00,0,0,England
"RDB Croft, AJ Hollioake",1998-1998,1998,1998,3,0,22,11,7.33,0,0,England
"BM Duckett, JJ Roy",2016-2016,2016,2016,2,0,22,20,11.00,0,0,England
"MA Ealham, VJ Wells",1999-1999,1999,1999,2,0,22,22,11.00,0,0,England
"JE Emburey, NH Fairbrother",1987-1988,1987,1988,2,1,22,15*,22.00,0,0,England
"MV Fleming, AJ Hollioake",1998-1998,1998,1998,1,1,22,22*,-,0,0,England
"A Flintoff, JO Troughton",2003-2003,2003,2003,1,0,22,22,22.00,0,0,England
"DI Gower, G Miller",1978-1983,1978,1983,3,0,22,16,7.33,0,0,England
"CJ Jordan, AU Rashid",2015-2016,2015,2016,3,0,22,15,7.33,0,0,England
"SR Patel, JE Root",2013-2013,2013,2013,2,0,22,22,11.00,0,0,England
"LE Plunkett, BA Stokes",2017-2017,2017,2017,3,0,22,20,7.33,0,0,England
"DA Reeve, GP Thorpe",1993-1996,1993,1996,3,0,22,9,7.33,0,0,England
"JM Anderson, AF Giles",2003-2003,2003,2003,1,0,21,21,21.00,0,0,England
"GG Arnold, MH Denness",1975-1975,1975,1975,1,0,21,21,21.00,0,0,England
"RJ Bailey, NH Fairbrother",1987-1987,1987,1987,1,0,21,21,21.00,0,0,England
"GD Barlow, DL Underwood",1976-1976,1976,1976,1,0,21,21,21.00,0,0,England
"RS Bopara, SI Mahmood",2007-2007,2007,2007,3,1,21,13,10.50,0,0,England
"G Boycott, JH Edrich",1971-1971,1971,1971,1,0,21,21,21.00,0,0,England
"TT Bresnan, KP Pietersen",2011-2011,2011,2011,1,0,21,21,21.00,0,0,England
"AR Caddick, MA Ealham",2000-2000,2000,2000,4,0,21,8,5.25,0,0,England
"G Chapple, GO Jones",2006-2006,2006,2006,1,0,21,21,21.00,0,0,England
"PD Collingwood, JS Foster",2001-2002,2001,2002,2,1,21,15,21.00,0,0,England
"PJ Franks, AJ Stewart",2000-2000,2000,2000,1,0,21,21,21.00,0,0,England
"DI Gower, W Larkins",1980-1980,1980,1980,1,0,21,21,21.00,0,0,England
"BC Hollioake, MP Vaughan",2002-2002,2002,2002,1,0,21,21,21.00,0,0,England
"RK Illingworth, GP Thorpe",1993-1996,1993,1996,3,1,21,13,10.50,0,0,England
"CJ Jordan, DJ Willey",2016-2016,2016,2016,3,0,21,12,7.00,0,0,England
"KP Pietersen, ME Trescothick",2005-2006,2005,2006,2,0,21,21,10.50,0,0,England
"AU Rashid, MA Wood",2015-2015,2015,2015,1,0,21,21,21.00,0,0,England
"GRJ Roope, RW Taylor",1978-1978,1978,1978,2,0,21,21,10.50,0,0,England
"JN Snape, GP Thorpe",2002-2002,2002,2002,1,1,21,21*,-,0,0,England
"JM Anderson, TT Bresnan",2009-2010,2009,2010,3,1,20,11*,10.00,0,0,England
"GG Arnold, P Lever",1975-1975,1975,1975,1,0,20,20,20.00,0,0,England
"DL Bairstow, G Miller",1984-1984,1984,1984,2,0,20,16,10.00,0,0,England
"IR Bell, AD Mascarenhas",2007-2007,2007,2007,1,0,20,20,20.00,0,0,England
"SCJ Broad, MJ Prior",2008-2009,2008,2009,2,1,20,20,20.00,0,0,England
"G Cook, CJ Tavare",1982-1982,1982,1982,1,0,20,20,20.00,0,0,England
"JP Crawley, RC Irani",1997-1997,1997,1997,1,0,20,20,20.00,0,0,England
"PAJ DeFreitas, SD Udal",1995-1995,1995,1995,2,2,20,18*,-,0,0,England
"JL Denly, EJG Morgan",2009-2009,2009,2009,1,0,20,20,20.00,0,0,England
"JH Edrich, JH Hampshire",1971-1971,1971,1971,1,0,20,20,20.00,0,0,England
"GA Gooch, DR Pringle",1988-1992,1988,1992,2,0,20,17,10.00,0,0,England
"AW Greig, CM Old",1973-1977,1973,1977,2,0,20,14,10.00,0,0,England
"JA Jameson, D Lloyd",1973-1973,1973,1973,1,0,20,20,20.00,0,0,England
"AJ Lamb, G Miller",1982-1984,1982,1984,2,0,20,20,10.00,0,0,England
"GD Lloyd, MP Maynard",1996-1996,1996,1996,1,0,20,20,20.00,0,0,England
"MP Maynard, ME Trescothick",2000-2000,2000,2000,2,0,20,14,10.00,0,0,England
"JE Morris, RC Russell",1990-1990,1990,1990,1,0,20,20,20.00,0,0,England
"A Shahzad, GP Swann",2011-2011,2011,2011,2,1,20,13*,20.00,0,0,England
"A Shahzad, CT Tremlett",2011-2011,2011,2011,2,0,20,16,10.00,0,0,England
"GP Swann, MH Yardy",2010-2011,2010,2011,2,0,20,12,10.00,0,0,England
"MW Alleyne, VJ Wells",1999-1999,1999,1999,1,0,19,19,19.00,0,0,England
"JM Anderson, JC Tredwell",2013-2014,2013,2014,3,1,19,18,9.50,0,0,England
"CWJ Athey, JE Emburey",1987-1987,1987,1987,3,1,19,9*,9.50,0,0,England
"RJ Bailey, DJ Capel",1987-1990,1987,1990,2,0,19,14,9.50,0,0,England
"RJ Bailey, BN French",1985-1985,1985,1985,1,0,19,19,19.00,0,0,England
"GD Barlow, JM Brearley",1977-1977,1977,1977,1,0,19,19,19.00,0,0,England
"IR Bell, MA Carberry",2014-2014,2014,2014,1,0,19,19,19.00,0,0,England
"ID Blackwell, MJ Prior",2006-2006,2006,2006,1,0,19,19,19.00,0,0,England
"RJ Blakey, DA Reeve",1992-1993,1992,1993,2,0,19,19,9.50,0,0,England
"AR Caddick, ME Trescothick",2001-2001,2001,2001,1,0,19,19,19.00,0,0,England
"CS Cowdrey, PH Edmonds",1985-1985,1985,1985,1,1,19,19*,-,0,0,England
"RDB Croft, GP Thorpe",1997-1997,1997,1997,1,0,19,19,19.00,0,0,England
"MH Denness, FC Hayes",1973-1973,1973,1973,1,0,19,19,19.00,0,0,England
"JW Dernbach, ST Finn",2011-2011,2011,2011,2,0,19,11,9.50,0,0,England
"ARC Fraser, SD Udal",1994-1995,1994,1995,2,1,19,11,19.00,0,0,England
"RK Illingworth, DR Pringle",1992-1992,1992,1992,1,0,19,19,19.00,0,0,England
"CJ Jordan, MA Wood",2016-2016,2016,2016,1,1,19,19*,-,0,0,England
"APE Knott, RA Woolmer",1972-1972,1972,1972,1,0,19,19,19.00,0,0,England
"CM Old, CJ Tavare",1980-1980,1980,1980,1,0,19,19,19.00,0,0,England
"MR Ramprakash, AP Wells",1995-1995,1995,1995,1,0,19,19,19.00,0,0,England
"DA Reeve, SJ Rhodes",1994-1994,1994,1994,1,0,19,19,19.00,0,0,England
"GP Swann, CR Woakes",2013-2013,2013,2013,1,0,19,19,19.00,0,0,England
"MM Ali, SW Billings",2018-2018,2018,2018,1,0,18,18,18.00,0,0,England
"MM Ali, JJ Roy",2016-2016,2016,2016,1,0,18,18,18.00,0,0,England
"MW Alleyne, GA Hick",2000-2000,2000,2000,1,0,18,18,18.00,0,0,England
"DL Amiss, DS Steele",1976-1976,1976,1976,1,0,18,18,18.00,0,0,England
"GG Arnold, JA Snow",1972-1972,1972,1972,1,1,18,18*,-,0,0,England
"ID Austin, PJ Martin",1998-1998,1998,1998,2,1,18,10*,18.00,0,0,England
"IR Bell, JC Buttler",2014-2014,2014,2014,1,0,18,18,18.00,0,0,England
"RS Bopara, SR Patel",2008-2011,2008,2011,2,0,18,14,9.00,0,0,England
"RS Bopara, LE Plunkett",2007-2007,2007,2007,1,1,18,18*,-,0,0,England
"G Boycott, MW Gatting",1981-1981,1981,1981,3,0,18,11,6.00,0,0,England
"DJ Capel, PAJ DeFreitas",1987-1989,1987,1989,2,0,18,18,9.00,0,0,England
"JWM Dalrymple, SI Mahmood",2006-2006,2006,2006,2,0,18,12,9.00,0,0,England
"MW Gatting, MA Lynch",1988-1988,1988,1988,2,0,18,16,9.00,0,0,England
"AW Greig, D Lloyd",1974-1974,1974,1974,1,1,18,18*,-,0,0,England
"FC Hayes, GRJ Roope",1973-1973,1973,1973,1,0,18,18,18.00,0,0,England
"PW Jarvis, DE Malcolm",1993-1993,1993,1993,1,0,18,18,18.00,0,0,England
"KP Pietersen, CMW Read",2006-2006,2006,2006,1,0,18,18,18.00,0,0,England
"CJ Adams, C White",2000-2000,2000,2000,1,0,17,17,17.00,0,0,England
"DL Amiss, P Willey",1977-1977,1977,1977,1,0,17,17,17.00,0,0,England
"JM Anderson, CJ Jordan",2014-2014,2014,2014,1,0,17,17,17.00,0,0,England
"JM Anderson, A Shahzad",2011-2011,2011,2011,1,0,17,17,17.00,0,0,England
"GJ Batty, AJ Strauss",2009-2009,2009,2009,1,0,17,17,17.00,0,0,England
"TK Curran, AU Rashid",2018-2018,2018,2018,2,0,17,9,8.50,0,0,England
"GR Dilley, JE Emburey",1986-1987,1986,1987,4,1,17,13,5.66,0,0,England
"GR Dilley, BN French",1987-1987,1987,1987,1,1,17,17*,-,0,0,England
"BL D'Oliveira, KWR Fletcher",1972-1972,1972,1972,2,0,17,10,8.50,0,0,England
"PR Downton, JE Emburey",1986-1988,1986,1988,2,0,17,12,8.50,0,0,England
"PR Downton, P Willey",1986-1986,1986,1986,2,0,17,16,8.50,0,0,England
"PH Edmonds, GC Small",1987-1987,1987,1987,1,1,17,17*,-,0,0,England
"JS Foster, AF Giles",2002-2002,2002,2002,2,0,17,11,8.50,0,0,England
"ARC Fraser, GC Small",1991-1991,1991,1991,1,0,17,17,17.00,0,0,England
"D Gough, N Hussain",1996-1999,1996,1999,2,0,17,15,8.50,0,0,England
"GA Hick, VS Solanki",2000-2000,2000,2000,1,0,17,17,17.00,0,0,England
"GA Hick, VJ Wells",1999-1999,1999,1999,1,0,17,17,17.00,0,0,England
"CC Lewis, GP Thorpe",1993-1993,1993,1993,1,0,17,17,17.00,0,0,England
"GRJ Roope, BC Rose",1977-1977,1977,1977,1,0,17,17,17.00,0,0,England
"DL Underwood, RGD Willis",1973-1982,1973,1982,3,2,17,6*,17.00,0,0,England
"MA Atherton, W Larkins",1991-1991,1991,1991,1,0,16,16,16.00,0,0,England
"DL Bairstow, G Boycott",1979-1979,1979,1979,1,1,16,16*,-,0,0,England
"DL Bairstow, MW Gatting",1980-1980,1980,1980,1,1,16,16*,-,0,0,England
"SCJ Broad, LJ Wright",2009-2010,2009,2010,2,0,16,10,8.00,0,0,England
"PD Collingwood, MJ Hoggard",2003-2003,2003,2003,1,0,16,16,16.00,0,0,England
"DG Cork, RC Russell",1996-1996,1996,1996,4,0,16,6,4.00,0,0,England
"PAJ DeFreitas, GA Gooch",1994-1994,1994,1994,1,0,16,16,16.00,0,0,England
"NH Fairbrother, JJ Whitaker",1987-1987,1987,1987,1,0,16,16,16.00,0,0,England
"ST Finn, MA Wood",2015-2015,2015,2015,2,0,16,14,8.00,0,0,England
"RK Illingworth, GC Small",1992-1992,1992,1992,1,0,16,16,16.00,0,0,England
"W Larkins, DW Randall",1980-1980,1980,1980,1,0,16,16,16.00,0,0,England
"DR Pringle, GP Thorpe",1993-1993,1993,1993,1,0,16,16,16.00,0,0,England
"MJ Prior, MP Vaughan",2004-2004,2004,2004,1,0,16,16,16.00,0,0,England
"JE Root, JC Tredwell",2013-2013,2013,2013,1,1,16,16*,-,0,0,England
"Kabir Ali, AF Giles",2005-2005,2005,2005,1,0,15,15,15.00,0,0,England
"Kabir Ali, AG Wharf",2005-2005,2005,2005,1,0,15,15,15.00,0,0,England
"JM Anderson, JW Dernbach",2011-2011,2011,2011,1,1,15,15*,-,0,0,England
"JM Anderson, C White",2002-2002,2002,2002,1,0,15,15,15.00,0,0,England
"MA Atherton, C White",1996-1996,1996,1996,2,0,15,10,7.50,0,0,England
"CWJ Athey, DJ Capel",1987-1987,1987,1987,1,0,15,15,15.00,0,0,England
"ID Blackwell, LE Plunkett",2005-2006,2005,2006,2,0,15,8,7.50,0,0,England
"DG Cork, NH Fairbrother",1996-1996,1996,1996,2,0,15,10,7.50,0,0,England
"DG Cork, CC Lewis",1996-1996,1996,1996,1,1,15,15*,-,0,0,England
"PAJ DeFreitas, PW Jarvis",1993-1993,1993,1993,2,0,15,15,7.50,0,0,England
"MH Denness, JA Snow",1975-1975,1975,1975,1,0,15,15,15.00,0,0,England
"PH Edmonds, CJ Richards",1987-1987,1987,1987,1,0,15,15,15.00,0,0,England
"JH Edrich, B Wood",1975-1975,1975,1975,1,0,15,15,15.00,0,0,England
"ARC Fraser, EE Hemmings",1990-1990,1990,1990,2,1,15,9,15.00,0,0,England
"GA Gooch, SJ Rhodes",1994-1994,1994,1994,1,0,15,15,15.00,0,0,England
"EC Joyce, PA Nixon",2007-2007,2007,2007,1,0,15,15,15.00,0,0,England
"APE Knott, JA Snow",1971-1971,1971,1971,1,0,15,15,15.00,0,0,England
"JK Lever, DL Underwood",1976-1982,1976,1982,3,0,15,15,5.00,0,0,England
"JK Lever, RGD Willis",1977-1982,1977,1982,3,0,15,11,5.00,0,0,England
"CC Lewis, MR Ramprakash",1994-1994,1994,1994,1,0,15,15,15.00,0,0,England
"AD Mascarenhas, MJ Prior",2009-2009,2009,2009,2,0,15,14,7.50,0,0,England
"G Miller, P Willey",1979-1979,1979,1979,1,0,15,15,15.00,0,0,England
"JE Morris, GC Small",1990-1990,1990,1990,1,0,15,15,15.00,0,0,England
"CM Old, DW Randall",1977-1979,1977,1979,3,0,15,7,5.00,0,0,England
"DW Randall, RGD Willis",1979-1983,1979,1983,2,1,15,13,15.00,0,0,England
"VS Solanki, C White",2000-2000,2000,2000,1,0,15,15,15.00,0,0,England
"AJ Strauss, MH Yardy",2006-2010,2006,2010,3,0,15,6,5.00,0,0,England
"CJ Adams, MA Ealham",2000-2000,2000,2000,1,0,14,14,14.00,0,0,England
"CJ Adams, VS Solanki",2000-2000,2000,2000,1,0,14,14,14.00,0,0,England
"DL Amiss, GA Gooch",1976-1976,1976,1976,1,0,14,14,14.00,0,0,England
"MA Atherton, SL Watkin",1994-1994,1994,1994,1,0,14,14,14.00,0,0,England
"KJ Barnett, RA Smith",1988-1988,1988,1988,1,0,14,14,14.00,0,0,England
"RS Bopara, MA Carberry",2013-2013,2013,2013,1,0,14,14,14.00,0,0,England
"IT Botham, G Fowler",1983-1983,1983,1983,1,0,14,14,14.00,0,0,England
"DR Brown, DW Headley",1997-1997,1997,1997,2,1,14,12*,14.00,0,0,England
"PD Collingwood, SI Mahmood",2006-2006,2006,2006,1,0,14,14,14.00,0,0,England
"MH Denness, APE Knott",1975-1975,1975,1975,2,1,14,13*,14.00,0,0,England
"NH Fairbrother, RK Illingworth",1992-1996,1992,1996,2,0,14,7,7.00,0,0,England
"JS Foster, D Gough",2002-2002,2002,2002,1,0,14,14,14.00,0,0,England
"NA Foster, EE Hemmings",1987-1987,1987,1987,1,1,14,14*,-,0,0,England
"NA Foster, GC Small",1987-1987,1987,1987,3,1,14,11*,7.00,0,0,England
"NA Foster, RGD Willis",1984-1984,1984,1984,1,1,14,14*,-,0,0,England
"GA Gooch, GP Thorpe",1994-1994,1994,1994,1,0,14,14,14.00,0,0,England
"D Gough, KP Pietersen",2005-2005,2005,2005,1,1,14,14*,-,0,0,England
"D Gough, CT Tremlett",2005-2005,2005,2005,1,0,14,14,14.00,0,0,England
"AW Greig, RW Taylor",1973-1973,1973,1973,1,0,14,14,14.00,0,0,England
"RK Illingworth, PW Jarvis",1993-1993,1993,1993,2,0,14,7,7.00,0,0,England
"RL Johnson, CMW Read",2003-2003,2003,2003,1,0,14,14,14.00,0,0,England
"AD Mascarenhas, GP Swann",2008-2008,2008,2008,1,0,14,14,14.00,0,0,England
"CM Old, DL Underwood",1977-1977,1977,1977,1,0,14,14,14.00,0,0,England
"DR Pringle, CM Wells",1985-1985,1985,1985,1,0,14,14,14.00,0,0,England
"DW Randall, CM Wells",1985-1985,1985,1985,1,0,14,14,14.00,0,0,England
"JN Snape, AJ Stewart",2002-2002,2002,2002,1,0,14,14,14.00,0,0,England
"JN Snape, AJ Tudor",2002-2002,2002,2002,1,0,14,14,14.00,0,0,England
"JWA Taylor, LJ Wright",2013-2013,2013,2013,1,0,14,14,14.00,0,0,England
"CWJ Athey, CJ Richards",1987-1987,1987,1987,1,0,13,13,13.00,0,0,England
"RJ Bailey, PH Edmonds",1985-1985,1985,1985,1,0,13,13,13.00,0,0,England
"KJ Barnett, RT Robinson",1988-1988,1988,1988,1,0,13,13,13.00,0,0,England
"RS Bopara, JWM Dalrymple",2007-2007,2007,2007,1,0,13,13,13.00,0,0,England
"SG Borthwick, TT Bresnan",2011-2011,2011,2011,1,0,13,13,13.00,0,0,England
"IT Botham, APE Knott",1976-1976,1976,1976,1,0,13,13,13.00,0,0,England
"G Boycott, DB Close",1972-1972,1972,1972,1,0,13,13,13.00,0,0,England
"SCJ Broad, RJW Topley",2016-2016,2016,2016,1,0,13,13,13.00,0,0,England
"AR Caddick, RC Irani",2003-2003,2003,2003,4,2,13,7*,6.50,0,0,England
"DJ Capel, RA Smith",1989-1989,1989,1989,1,0,13,13,13.00,0,0,England
"PD Collingwood, AP Grayson",2001-2001,2001,2001,1,0,13,13,13.00,0,0,England
"RDB Croft, N Hussain",1996-1999,1996,1999,3,1,13,8*,6.50,0,0,England
"TK Curran, JE Root",2018-2018,2018,2018,1,0,13,13,13.00,0,0,England
"MH Denness, JH Edrich",1974-1974,1974,1974,2,0,13,12,6.50,0,0,England
"MV Fleming, CC Lewis",1998-1998,1998,1998,1,0,13,13,13.00,0,0,England
"G Fowler, CM Wells",1985-1985,1985,1985,1,0,13,13,13.00,0,0,England
"AF Giles, MJ Hoggard",2002-2002,2002,2002,1,0,13,13,13.00,0,0,England
"D Gough, NV Knight",1996-2001,1996,2001,2,0,13,10,6.50,0,0,England
"D Gough, ME Trescothick",2001-2001,2001,2001,1,0,13,13,13.00,0,0,England
"D Gough, AG Wharf",2004-2004,2004,2004,2,0,13,11,6.50,0,0,England
"DW Headley, GA Hick",1999-1999,1999,1999,1,0,13,13,13.00,0,0,England
"RK Illingworth, DA Reeve",1992-1992,1992,1992,2,1,13,8,13.00,0,0,England
"RC Irani, GP Thorpe",1997-1997,1997,1997,1,0,13,13,13.00,0,0,England
"RD Jackman, RGD Willis",1981-1983,1981,1983,2,0,13,9,6.50,0,0,England
"P Lever, RW Taylor",1974-1974,1974,1974,1,1,13,13*,-,0,0,England
"J Lewis, MS Panesar",2007-2007,2007,2007,1,0,13,13,13.00,0,0,England
"J Lewis, CMW Read",2006-2006,2006,2006,1,0,13,13,13.00,0,0,England
"G Miller, GRJ Roope",1978-1978,1978,1978,1,0,13,13,13.00,0,0,England
"DR Pringle, RC Russell",1990-1990,1990,1990,1,0,13,13,13.00,0,0,England
"MM Ali, MA Wood",2015-2015,2015,2015,1,0,12,12,12.00,0,0,England
"CWJ Athey, NA Foster",1987-1987,1987,1987,1,0,12,12,12.00,0,0,England
"CWJ Athey, DR Pringle",1986-1986,1986,1986,1,1,12,12*,-,0,0,England
"RS Bopara, SJ Harmison",2008-2008,2008,2008,1,0,12,12,12.00,0,0,England
"RS Bopara, RJ Sidebottom",2007-2009,2007,2009,3,0,12,8,4.00,0,0,England
"G Boycott, CJ Tavare",1980-1980,1980,1980,2,0,12,8,6.00,0,0,England
"TT Bresnan, AU Rashid",2009-2009,2009,2009,2,0,12,6,6.00,0,0,England
"SCJ Broad, AJ Strauss",2009-2009,2009,2009,1,0,12,12,12.00,0,0,England
"DJ Capel, NA Foster",1987-1987,1987,1987,1,1,12,12*,-,0,0,England
"PD Collingwood, P Mustard",2008-2008,2008,2008,1,0,12,12,12.00,0,0,England
"CS Cowdrey, AJ Lamb",1985-1985,1985,1985,1,0,12,12,12.00,0,0,England
"LA Dawson, CR Woakes",2016-2016,2016,2016,1,0,12,12,12.00,0,0,England
"RM Ellison, MW Gatting",1984-1984,1984,1984,1,0,12,12,12.00,0,0,England
"ARC Fraser, AD Mullally",1999-1999,1999,1999,2,0,12,8,6.00,0,0,England
"MW Gatting, RD Jackman",1981-1981,1981,1981,1,0,12,12,12.00,0,0,England
"D Gough, RC Russell",1996-1996,1996,1996,1,1,12,12*,-,0,0,England
"RD Jackman, DR Pringle",1983-1983,1983,1983,1,0,12,12,12.00,0,0,England
"GO Jones, CT Tremlett",2005-2005,2005,2005,1,0,12,12,12.00,0,0,England
"RWT Key, ME Trescothick",2003-2004,2003,2004,3,0,12,9,4.00,0,0,England
"APE Knott, K Shuttleworth",1971-1971,1971,1971,1,0,12,12,12.00,0,0,England
"CC Lewis, DR Pringle",1992-1992,1992,1992,1,1,12,12*,-,0,0,England
"A McGrath, CMW Read",2003-2003,2003,2003,1,0,12,12,12.00,0,0,England
"AD Mullally, GP Thorpe",2001-2001,2001,2001,1,0,12,12,12.00,0,0,England
"DR Pringle, CJ Richards",1986-1986,1986,1986,1,0,12,12,12.00,0,0,England
"CMW Read, MH Yardy",2006-2006,2006,2006,1,0,12,12,12.00,0,0,England
"DA Reeve, AJ Stewart",1992-1993,1992,1993,2,0,12,11,6.00,0,0,England
"DA Reeve, PCR Tufnell",1992-1992,1992,1992,1,1,12,12*,-,0,0,England
"RT Robinson, P Willey",1986-1986,1986,1986,1,0,12,12,12.00,0,0,England
"CEW Silverwood, GP Thorpe",1997-1997,1997,1997,1,0,12,12,12.00,0,0,England
"JM Anderson, SR Patel",2012-2012,2012,2012,1,0,11,11,11.00,0,0,England
"IR Bell, SCJ Broad",2007-2011,2007,2011,2,0,11,9,5.50,0,0,England
"SW Billings, JC Buttler",2015-2017,2015,2017,2,0,11,7,5.50,0,0,England
"ID Blackwell, R Clarke",2004-2004,2004,2004,1,0,11,11,11.00,0,0,England
"IT Botham, NA Foster",1984-1984,1984,1984,1,1,11,11*,-,0,0,England
"TT Bresnan, AD Mascarenhas",2009-2009,2009,2009,1,0,11,11,11.00,0,0,England
"SCJ Broad, SJ Harmison",2008-2008,2008,2008,1,0,11,11,11.00,0,0,England
"SCJ Broad, JC Tredwell",2013-2013,2013,2013,2,1,11,11*,11.00,0,0,England
"AR Caddick, AJ Stewart",2002-2002,2002,2002,1,1,11,11*,-,0,0,England
"DJ Capel, BN French",1988-1988,1988,1988,1,0,11,11,11.00,0,0,England
"MA Carberry, LJ Wright",2013-2013,2013,2013,1,0,11,11,11.00,0,0,England
"DG Cork, N Hussain",1997-1997,1997,1997,1,0,11,11,11.00,0,0,England
"GR Dilley, RGD Willis",1983-1983,1983,1983,1,0,11,11,11.00,0,0,England
"BL D'Oliveira, JH Hampshire",1972-1972,1972,1972,1,1,11,11*,-,0,0,England
"PH Edmonds, NA Foster",1985-1985,1985,1985,3,1,11,8*,5.50,0,0,England
"RM Ellison, JE Emburey",1986-1986,1986,1986,2,0,11,7,5.50,0,0,England
"RM Ellison, VJ Marks",1985-1985,1985,1985,1,0,11,11,11.00,0,0,England
"JE Emburey, PW Jarvis",1988-1988,1988,1988,1,0,11,11,11.00,0,0,England
"JE Emburey, LB Taylor",1986-1986,1986,1986,1,0,11,11,11.00,0,0,England
"NH Fairbrother, PJ Martin",1996-1996,1996,1996,1,0,11,11,11.00,0,0,England
"ST Finn, WB Rankin",2013-2013,2013,2013,1,0,11,11,11.00,0,0,England
"NA Foster, JG Thomas",1986-1987,1986,1987,3,2,11,8*,11.00,0,0,England
"D Gough, SD Udal",1994-1995,1994,1995,3,0,11,8,3.66,0,0,England
"AW Greig, B Wood",1972-1972,1972,1972,1,0,11,11,11.00,0,0,England
"BC Hollioake, MR Ramprakash",2001-2001,2001,2001,1,0,11,11,11.00,0,0,England
"NV Knight, CEW Silverwood",1997-1997,1997,1997,1,0,11,11,11.00,0,0,England
"MJ Lumb, LJ Wright",2014-2014,2014,2014,2,0,11,10,5.50,0,0,England
"LE Plunkett, SD Udal",2005-2005,2005,2005,1,0,11,11,11.00,0,0,England
"DR Pringle, SJ Rhodes",1989-1989,1989,1989,1,0,11,11,11.00,0,0,England
"DR Pringle, RW Taylor",1982-1982,1982,1982,1,1,11,11*,-,0,0,England
"AU Rashid, GP Swann",2009-2009,2009,2009,2,0,11,6,5.50,0,0,England
"A Shahzad, MH Yardy",2011-2011,2011,2011,1,0,11,11,11.00,0,0,England
"Kabir Ali, D Gough",2005-2005,2005,2005,1,1,10,10*,-,0,0,England
"PJW Allott, MW Gatting",1985-1985,1985,1985,1,0,10,10,10.00,0,0,England
"TR Ambrose, AD Mascarenhas",2008-2008,2008,2008,1,0,10,10,10.00,0,0,England
"DL Amiss, CM Old",1977-1977,1977,1977,1,0,10,10,10.00,0,0,England
"JM Anderson, JWM Dalrymple",2007-2007,2007,2007,1,0,10,10,10.00,0,0,England
"JM Anderson, D Gough",2003-2003,2003,2003,1,1,10,10*,-,0,0,England
"ID Austin, D Gough",1998-1999,1998,1999,4,0,10,5,2.50,0,0,England
"RJ Bailey, EE Hemmings",1990-1990,1990,1990,1,0,10,10,10.00,0,0,England
"RJ Bailey, PI Pocock",1985-1985,1985,1985,1,0,10,10,10.00,0,0,England
"MR Benson, DI Gower",1986-1986,1986,1986,1,0,10,10,10.00,0,0,England
"IT Botham, IJ Gould",1983-1983,1983,1983,1,0,10,10,10.00,0,0,England
"IT Botham, CC Lewis",1992-1992,1992,1992,1,1,10,10*,-,0,0,England
"IT Botham, SJ Rhodes",1989-1989,1989,1989,1,1,10,10*,-,0,0,England
"TT Bresnan, SJ Harmison",2006-2006,2006,2006,1,0,10,10,10.00,0,0,England
"TT Bresnan, SC Meaker",2011-2011,2011,2011,1,0,10,10,10.00,0,0,England
"SCJ Broad, JWA Taylor",2015-2015,2015,2015,1,0,10,10,10.00,0,0,England
"AR Caddick, RK Illingworth",1993-1993,1993,1993,2,0,10,7,5.00,0,0,England
"R Clarke, A Flintoff",2003-2003,2003,2003,1,0,10,10,10.00,0,0,England
"PD Collingwood, BC Hollioake",2001-2002,2001,2002,3,0,10,7,3.33,0,0,England
"RDB Croft, BC Hollioake",2001-2001,2001,2001,1,0,10,10,10.00,0,0,England
"JE Emburey, MW Gatting",1987-1988,1987,1988,2,0,10,7,5.00,0,0,England
"ST Finn, CJ Jordan",2015-2015,2015,2015,1,1,10,10*,-,0,0,England
"ST Finn, TS Roland-Jones",2017-2017,2017,2017,1,0,10,10,10.00,0,0,England
"MV Fleming, MR Ramprakash",1998-1998,1998,1998,1,0,10,10,10.00,0,0,England
"KWR Fletcher, RW Taylor",1973-1982,1973,1982,2,0,10,7,5.00,0,0,England
"A Flintoff, MS Panesar",2007-2007,2007,2007,1,1,10,10*,-,0,0,England
"D Gough, AJ Tudor",2002-2002,2002,2002,1,1,10,10*,-,0,0,England
"FC Hayes, APE Knott",1975-1975,1975,1975,1,0,10,10,10.00,0,0,England
"M Hendrick, JK Lever",1976-1979,1976,1979,3,1,10,8*,5.00,0,0,England
"RC Irani, OA Shah",2003-2003,2003,2003,1,0,10,10,10.00,0,0,England
"RD Jackman, VJ Marks",1983-1983,1983,1983,2,0,10,8,5.00,0,0,England
"LE Plunkett, OA Shah",2007-2007,2007,2007,1,0,10,10,10.00,0,0,England
"DR Pringle, RGD Willis",1983-1983,1983,1983,1,0,10,10,10.00,0,0,England
"OA Shah, GP Thorpe",2002-2002,2002,2002,1,0,10,10,10.00,0,0,England
"JWA Taylor, IJL Trott",2011-2011,2011,2011,1,0,10,10,10.00,0,0,England
"JM Anderson, HF Gurney",2014-2014,2014,2014,3,0,9,4,3.00,0,0,England
"JM Anderson, OA Shah",2007-2007,2007,2007,1,0,9,9,9.00,0,0,England
"MA Atherton, RC Irani",1997-1997,1997,1997,1,0,9,9,9.00,0,0,England
"RJ Bailey, RM Ellison",1985-1985,1985,1985,1,0,9,9,9.00,0,0,England
"DL Bairstow, RO Butcher",1980-1980,1980,1980,1,0,9,9,9.00,0,0,England
